"timepoint","cell_count","replicate"
6,271850.781438508,1
6,208944.071045917,2
7,278094.228078401,1
7,211898.814764235,2
8,287112.470192415,1
8,214874.587007503,2
9,289011.672344851,1
9,218387.421394173,2
10,297574.803448203,1
10,222793.217782788,2
11,307566.96546666,1
11,227551.578704091,2
12,320957.187070751,1
12,232931.837104568,2
13,333062.410975467,1
13,240176.014944992,2
14,342111.612541268,1
14,247491.448069422,2
15,354878.950746852,1
15,255166.635618722,2
16,363597.570765316,1
16,258408.752217819,2
17,376434.342669391,1
17,266700.237956397,2
18,387867.057727712,1
18,276210.980498927,2
19,403691.780355987,1
19,284528.266531251,2
20,427624.880704842,1
20,293625.995658435,2
21,444285.453669485,1
21,303468.422112998,2
22,470670.272573194,1
22,316739.730778408,2
23,495438.494166212,1
23,330887.015816123,2
24,521338.564808947,1
24,344693.951328908,2
25,545222.915992287,1
25,364050.694842693,2
26,575544.439633962,1
26,381571.095558328,2
27,617509.375543039,1
27,404871.426792871,2
28,645620.828958773,1
28,424157.460588724,2
29,687395.925324307,1
29,451396.368620397,2
30,728234.062888532,1
30,472820.176786793,2
31,776474.995822965,1
31,491568.092797443,2
32,821902.016511087,1
32,520453.527183464,2
33,854120.096957342,1
33,550969.528296044,2
34,893820.896664207,1
34,578591.062742214,2
35,949005.963179332,1
35,607490.238298024,2
36,995296.753755479,1
36,647401.394531782,2
37,1037158.39263183,1
37,684590.52601084,2
38,1087524.25798144,1
38,720705.499551905,2
39,1133494.20754104,1
39,756464.608305599,2
40,1161937.81389498,1
40,793009.323797629,2
41,1198491.35595691,1
41,826162.083718759,2
42,1233666.08271712,1
42,867941.76424316,2
43,1267896.35913313,1
43,892410.758760127,2
44,1287900.07652646,1
44,926869.483055801,2
45,1306359.81266874,1
45,962474.924007492,2
46,1331534.98090723,1
46,997578.572060633,2
47,1351420.73558662,1
47,1029365.61693534,2
48,1364240.68335047,1
48,1067221.42941764,2
49,1374571.30357998,1
49,1095756.24730175,2
50,1385793.90228175,1
50,1131438.70697437,2
51,1398769.68165685,1
51,1162623.37059028,2
52,1413400.78156888,1
52,1187752.21540287,2
53,1422170.35091687,1
53,1213314.01259263,2
54,1425688.87973064,1
54,1239660.28359807,2
