Condition,MinSolution,MaxSolution,GrowthRate
CORE,NaN,NaN,0.0486
GP,0,0.113057326658933,0.0486
HS_578T,NaN,NaN,0.013033577
SR,NaN,NaN,0.025987054
NCI_H226,0,0.00689357448443923,0.011473383
UO_31,0.0158577341127588,0.0237866011690847,0.019171008
MALME_3M,0,0.00569235808434383,0.020798529
HT29,NaN,NaN,0.035730055
X786_O,NaN,NaN,0.031111255
MDA_MB_231_ATCC,NaN,NaN,0.018027769
RPMI_8226,NaN,NaN,0.02270517
HOP_92,0.00792577132868732,0.00797863272158566,0.010926773
HOP_62,NaN,NaN,0.018333143
