Row,CORE,GP,HT29,HOP_62,X786_O,MALME_3M,UO_31,HS_578T,HOP_92,NCI_H226,MDA_MB_231_ATCC,RPMI_8226,SR
arginine,-0.001750221,-0.225616234,-0.00628931608707717,-0.006832754,-0.00719630351728866,-0.00129978,-0.005431378,-0.0021851491777267,-0.007139201,-0.001574063,-0.00338457,-0.0047217221037954,0
asparagine,-0.00128221320672256,-0.018912272,-0.00571363,-0.002018538,-0.002396685,-0.004913882,-0.001222105,0.000346,-0.00133466867372617,-0.001628876,-0.001922615,-0.002382279,-0.002440472
glucose,-1.090211163,-6.527885229,-0.891204517,-0.437346135,-0.826120427,-0.848562996,-0.898948663,-0.549041759,-0.479477546,-0.26705905,-0.398649261,-0.594208072,-0.864113881
glutamine,-0.396181687,-0.623902629,-0.226698917,-0.146252447,-0.228850691,-0.122203241,-0.219496506,-0.124230534,-0.078432974,-0.091938612,-0.094750789,-0.123594044,-0.109775824
glutamate,0.107402613,-0.124220999,0.02678411,0.056588804,0.042193442,0.016112564,0.011390914,0.038522979,0.00917449,0.016202008,0.01664521,0.015988165,0.018807129
glycine,-0.002434734,-0.104869687,-0.000802,-0.000307,0.003908824,0.016061208,0.008171299,0.004334714,0.006385996,0.002939872,0.000605,-0.0004,0.0025653
L-lactate,3.205707761,0.93880697,1.392205968,0.679121284,1.166895089,0.932104298,1.118142634,0.767588362,0.743240244,0.317551752,0.552731028,0.687740829,0.992967126
methionine,-0.000768303234053747,-0.0113322493197074,-0.00276085242330737,-0.002496251,-0.004789793,-0.003363566,-0.004351409,-0.001823891,-0.001426579,-0.001965335,-0.00289763,-0.002318728,-0.003263032
phenylalanine,-0.006648586,-0.078702476,-0.006567123,-0.002744675,-0.005369239,-0.003162452,-0.004906518,-0.002358298,-0.00220937,-0.002257474,-0.003408873,-0.003510565,-0.00339599
proline,0.003739439,-0.053669087,0.000606,-0.000676,0.005380916,-0.001069608,0.00710491,0.001186608,0.001436971,0.001361038,0.002203858,0.002435376,-0
serine,-0.034675813,-0.089163384,-0.0325857,-0.016314407,-0.033339735,-0.024670565,-0.031649758,-0.011636228,-0.016568732,-0.017833616,-0.021499214,-0.022222852,-0.030117158
threonine,-0.028286682,-0.165510217,-0.013603744,-0.006411995,-0.011510289,-0.009353784,-0.009821513,-0.005220614,-0.004979441,-0.005240142,-0.007183311,-0.008527731,-0.008802744
tryptophan,-0.000789,-0.014242937,-0.001211726,-0.000696,-0.00138647,-0.000865,-0.00133912,-0.000421,-0.000351,-0.000468,-0.000944,-0.000955,0
tyrosine,-0.00531794,-0.077976809,-0.007986935,-0.00201236367581714,-0.00400873831256376,-0.004482545,-0.006833216,-0.00121724871746665,-0.003180849,-0.00311885,-0.00188539232635776,-0.00263025986237153,0
valine,-0.00230121578442777,-0.033942263749168,-0.00826928339461119,-0.00474977118869901,-0.00946180353400905,-0.00170896946847694,-0.0071412540384761,-0.00287306561792129,-0.00239535874597152,-0.00206960070818241,-0.0044500813938058,-0.00620818824295391,0
